TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACNF118,ACNF118,ACNF118,9.3.19,ACNF118_9.6.19,ACNF,Olowalu_MAUI,4/13/17,52.91,15.1,10.2,12.8,3.776,0.074,2.622,M,0.198,N,"frozen, supplemented with intestine",37,0.901989328
ACNF119,ACNF119,ACNF119,9.3.19,ACNF119_9.6.19,ACNF,Olowalu_MAUI,4/13/17,45.19,14.5,10,12.5,3.825,0.621,0.964,F,0.163,N,"frozen, supplemented with intestine",41,0.878489393
ACNF120,ACNF120,ACNF120,9.3.19,ACNF120_9.6.19,ACNF,ElectricBeach_OAH,7/25/17,88.4,17.8,11.8,15,7.52,0.94,0.49,M,0.38,N,,43,0.756872828
ACNF121,ACNF121,ACNF121,9.3.19,ACNF121_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,74.81,16,10.5,13.8,6.46,0.58,1.76,M,0.2,N,,33,0.901477033
ACNF122,ACNF122,ACNF122,9.3.19,ACNF122_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,61.69,15.5,10.5,13.4,6.63,0.49,0.79,M,0.32,N,,33,0.505960976
ACNF123,ACNF123.dup1,ACNF123,9.3.19,ACNF123_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,55.94,15.6,10.4,13.2,4.31,0.64,0.37,M,0.29,N,,49,0.865032196
ACNF124,ACNF124,ACNF124,9.3.19,ACNF124_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,59.05,15.2,10.5,13.3,4.13,0.46,0.35,M,0.29,N,,43,0.684281379
ACNI001,ACNI001.dup1,ACNI001,9.3.19,ACNI001.1_9.6.19,ACNI,HaleiwaFishBowl_OAH,8/12/16,13,9.4,7.8,6.5,1.2,0.23,NA,NA,0.05,N,frozen,36,0.52107677
ACNI002,ACNI002,ACNI002,9.3.19,ACNI002_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,260.04,24.1,17.2,24.1,31.15,1.8,0.42,M,1,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",38,0.68484263
ACNI004,ACNI004,ACNI004,9.3.19,ACNI004_S120_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,221.27,22.5,15.5,19.2,27.75,2.26,1.16,F,1.71,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",43,0.897299919
ACNI005B,ACNI005B,ACNI005,9.3.19,ACNI005B_S64_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,188.41,22,15.2,19.2,33.9,1.79,1.07,F,1.21,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",38,0.792248042
ACNI006,ACNI006,ACNI006,8.23.19,ACNI006_S201_8.19,ACNI,WaipahuFishMarket_OAH,NA,181.5,22.1,14.9,18.5,24.3,2.25,1.34,F,0.62,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",42,0.895641386
ACOL001,ACOL001,ACOL001,8.23.19,ACOL001_S203_8.19,ACOL,WaipahuFishMarket_OAH,NA,224.9,24.3,16.5,20.7,30.65,2.93,0.15,M,2.71,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",33,0.859264158
ACTR010,ACTR010,ACTR010,9.3.19,ACTR010_S43_9.6.19,ACTR,Kakaako_OAH,10/23/16,117.07,15.7,12.6,15,17.77,1.18,1.29,NA,0.35,~,"<24 hrs in fridge, took subset of stomach contents for exctraction",39,0.793663637
